,ln,dob,gn,fn,Full_Name
0,SMITH JR,01/03/68,F,WILLIAM,WILLIAM SMITH JR
1,ROTHMEYER JR,01/03/68,F,WILLIAM,WILLIAM ROTHMEYER JR
2,ASBY JR,01/03/68,F,WILLIAM,WILLIAM ASBY JR
3,SALTER JR,01/03/68,F,WILLIAM,WILLIAM SALTER JR
5,BLAND JR,21/02/62,F,WILLIAM,WILLIAM BLAND JR
8,SHAFFER JR,21/02/62,F,WILLIAM,WILLIAM SHAFFER JR
11,BLAND JR,21/02/62,F,BILL,BILL BLAND JR
14,BLAND JR,08/06/54,F,WILLIAM,WILLIAM BLAND JR
16,BLAND JR,25/10/53,F,WILLIAM,WILLIAM BLAND JR
18,SHAFFER JR,25/10/53,F,WILLIAM,WILLIAM SHAFFER JR
19,DUNCAN JR,25/10/53,F,THOMAS,THOMAS DUNCAN JR
20,CARLSON JR,25/10/53,F,ROY,ROY CARLSON JR
22,DUNCAN JR,25/10/53,F,ROY,ROY DUNCAN JR
23,MICHAELSON,25/10/53,M,ROY,ROY MICHAELSON
27,MICHAELSON JR,01/05/51,M,ROY,ROY MICHAELSON JR
28,MICHAELSON JR,17/06/48,M,ROY,ROY MICHAELSON JR
30,MICHAELSON JR,09/04/47,M,ROY,ROY MICHAELSON JR
31,MICHAELSON JR,09/04/47,M,ROBERT,ROBERT MICHAELSON JR
33,MUSTAPHA JR,11/03/47,M,OWEN,OWEN MUSTAPHA JR
35,HOUGHTON JR,31/01/46,M,LAWRENCE,LAWRENCE HOUGHTON JR
38,LIND JR,31/01/46,M,LAWRENCE,LAWRENCE LIND JR
40,LIND JR,31/01/46,M,KENNETH,KENNETH LIND JR
42,LIND JR,20/01/46,M,JOHN,JOHN LIND JR
43,CAIN JR,20/01/46,M,JOHN,JOHN CAIN JR
44,CLARK,09/06/45,M,JOHN,JOHN CLARK
45,CLARK,09/02/45,M,RONALD,RONALD CLARK
47,CLARK,16/12/44,M,JOHN,JOHN CLARK
50,MICHAELSON JR,16/12/44,M,JOHN,JOHN MICHAELSON JR
53,MICHAELSON JR,24/04/40,M,JOHN,JOHN MICHAELSON JR
55,MICHAELSON JR,24/06/39,M,JOHN,JOHN MICHAELSON JR
58,MICHAELSON JR,24/06/39,M,JAMES,JAMES MICHAELSON JR
60,MICHAELSON JR,24/06/39,M,JACK,JACK MICHAELSON JR
61,MICHAELSON JR,09/06/39,M,JACK,JACK MICHAELSON JR
62,LARSON JR,09/06/39,M,HAROLD,HAROLD LARSON JR
64,MUSTAPHA JR,07/10/37,M,HAROLD,HAROLD MUSTAPHA JR
65,HOUGHTON JR,07/10/37,M,HAROLD,HAROLD HOUGHTON JR
66,MELVIN JR,07/10/37,M,HAROLD,HAROLD MELVIN JR
75,CHAVAS JR,07/10/37,M,HAROLD,HAROLD CHAVAS JR
79,MICHAELSON JR,07/10/37,M,HAROLD,HAROLD MICHAELSON JR
81,SMITH JR,07/10/37,M,HAROLD,HAROLD SMITH JR
84,FAGEN JR,07/10/37,M,HAROLD,HAROLD FAGEN JR
86,FAGEN JR,07/10/37,M,GEORGE,GEORGE FAGEN JR
87,GRIFFIN JR,07/10/37,M,DARH,DARH GRIFFIN JR
88,GRIFFIN JR,10/07/37,M,DARL,DARL GRIFFIN JR
89,GRIFFIN JR,07/05/37,M,DARL,DARL GRIFFIN JR
90,GRIFFIN JR,07/05/37,M,CLIFFORD,CLIFFORD GRIFFIN JR
93,GRIFFIN JR,07/05/37,M,CLARENCE,CLARENCE GRIFFIN JR
94,HANNA,24/11/34,M,ADDISON J,ADDISON J HANNA
99,GALETICH JR,15/10/32,M,ADDISON,ADDISON GALETICH JR
100,FUNARO JONES,06/12/37,F,HARRIET,HARRIET FUNARO JONES
